Carrier,OriginAirportID,DestAirportID,OriginAirportName,DestAirportName,OriginState,DestState,OriginCity,DestCity,DepDelay,ArrDelay
DL,14869,13796,Salt Lake City International,Metropolitan Oakland International,UT,CA,Salt Lake City,Oakland,-3,-16
DL,13796,14869,Metropolitan Oakland International,Salt Lake City International,CA,UT,Oakland,Salt Lake City,-6,-14
DL,12478,14869,John F. Kennedy International,Salt Lake City International,NY,UT,New York,Salt Lake City,10,-1
DL,11193,14679,Cincinnati/Northern Kentucky International,San Diego International,OH,CA,Cincinnati,San Diego,-3,-1
DL,14869,14771,Salt Lake City International,San Francisco International,UT,CA,Salt Lake City,San Francisco,-10,-10
DL,10397,14524,Hartsfield-Jackson Atlanta International,Richmond International,GA,VA,Atlanta,Richmond,-5,-14
DL,10397,14122,Hartsfield-Jackson Atlanta International,Pittsburgh International,GA,PA,Atlanta,Pittsburgh,-2,-2
DL,14122,10397,Pittsburgh International,Hartsfield-Jackson Atlanta International,PA,GA,Pittsburgh,Atlanta,-1,-6
DL,14057,13487,Portland International,Minneapolis-St Paul International,OR,MN,Portland,Minneapolis,-14,-13
DL,13487,14057,Minneapolis-St Paul International,Portland International,MN,OR,Minneapolis,Portland,-2,-14
DL,15304,10397,Tampa International,Hartsfield-Jackson Atlanta International,FL,GA,Tampa,Atlanta,0,5
DL,13487,14679,Minneapolis-St Paul International,San Diego International,MN,CA,Minneapolis,San Diego,-1,9
DL,11433,13198,Detroit Metro Wayne County,Kansas City International,MI,MO,Detroit,Kansas City,-5,6
DL,12478,14057,John F. Kennedy International,Portland International,NY,OR,New York,Portland,17,6
DL,12889,12892,McCarran International,Los Angeles International,NV,CA,Las Vegas,Los Angeles,-4,-15
DL,10140,10397,Albuquerque International Sunport,Hartsfield-Jackson Atlanta International,NM,GA,Albuquerque,Atlanta,-3,7
DL,11433,13930,Detroit Metro Wayne County,Chicago O'Hare International,MI,IL,Detroit,Chicago,-2,-15
DL,10397,10721,Hartsfield-Jackson Atlanta International,Logan International,GA,MA,Atlanta,Boston,56,73
DL,13204,10397,Orlando International,Hartsfield-Jackson Atlanta International,FL,GA,Orlando,Atlanta,-1,8
DL,10397,12889,Hartsfield-Jackson Atlanta International,McCarran International,GA,NV,Atlanta,Las Vegas,-1,-18
DL,11433,15016,Detroit Metro Wayne County,Lambert-St. Louis International,MI,MO,Detroit,St. Louis,-4,-3
DL,12892,14869,Los Angeles International,Salt Lake City International,CA,UT,Los Angeles,Salt Lake City,-6,-17
DL,11433,13204,Detroit Metro Wayne County,Orlando International,MI,FL,Detroit,Orlando,2,-14
DL,12892,11433,Los Angeles International,Detroit Metro Wayne County,CA,MI,Los Angeles,Detroit,15,-6
DL,14122,11433,Pittsburgh International,Detroit Metro Wayne County,PA,MI,Pittsburgh,Detroit,-3,2
DL,14869,11193,Salt Lake City International,Cincinnati/Northern Kentucky International,UT,OH,Salt Lake City,Cincinnati,-3,-20
DL,11433,11298,Detroit Metro Wayne County,Dallas/Fort Worth International,MI,TX,Detroit,Dallas/Fort Worth,-4,-18
DL,11298,11433,Dallas/Fort Worth International,Detroit Metro Wayne County,TX,MI,Dallas/Fort Worth,Detroit,-4,-2
DL,11292,11433,Denver International,Detroit Metro Wayne County,CO,MI,Denver,Detroit,0,-13
DL,10397,10693,Hartsfield-Jackson Atlanta International,Nashville International,GA,TN,Atlanta,Nashville,44,30
DL,10693,10397,Nashville International,Hartsfield-Jackson Atlanta International,TN,GA,Nashville,Atlanta,34,55
DL,14869,12892,Salt Lake City International,Los Angeles International,UT,CA,Salt Lake City,Los Angeles,-4,-9
DL,12892,14869,Los Angeles International,Salt Lake City International,CA,UT,Los Angeles,Salt Lake City,-3,-17
DL,12478,14869,John F. Kennedy International,Salt Lake City International,NY,UT,New York,Salt Lake City,-1,-9
DL,10397,11066,Hartsfield-Jackson Atlanta International,Port Columbus International,GA,OH,Atlanta,Columbus,-6,1
DL,11066,10397,Port Columbus International,Hartsfield-Jackson Atlanta International,OH,GA,Columbus,Atlanta,-5,-20
DL,15016,11433,Lambert-St. Louis International,Detroit Metro Wayne County,MO,MI,St. Louis,Detroit,27,31
DL,13204,10397,Orlando International,Hartsfield-Jackson Atlanta International,FL,GA,Orlando,Atlanta,-2,-10
DL,14771,11433,San Francisco International,Detroit Metro Wayne County,CA,MI,San Francisco,Detroit,-4,-19
DL,11433,15304,Detroit Metro Wayne County,Tampa International,MI,FL,Detroit,Tampa,-7,-17
DL,15304,11433,Tampa International,Detroit Metro Wayne County,FL,MI,Tampa,Detroit,-5,3
DL,11433,10721,Detroit Metro Wayne County,Logan International,MI,MA,Detroit,Boston,23,17
DL,10397,15016,Hartsfield-Jackson Atlanta International,Lambert-St. Louis International,GA,MO,Atlanta,St. Louis,15,17
DL,15016,10397,Lambert-St. Louis International,Hartsfield-Jackson Atlanta International,MO,GA,St. Louis,Atlanta,17,10
DL,13204,12953,Orlando International,LaGuardia,FL,NY,Orlando,New York,1,15
DL,10397,10821,Hartsfield-Jackson Atlanta International,Baltimore/Washington International Thurgood Marshall,GA,MD,Atlanta,Baltimore,16,11
DL,10821,10397,Baltimore/Washington International Thurgood Marshall,Hartsfield-Jackson Atlanta International,MD,GA,Baltimore,Atlanta,13,-4
DL,10397,15016,Hartsfield-Jackson Atlanta International,Lambert-St. Louis International,GA,MO,Atlanta,St. Louis,11,-1
DL,10397,11697,Hartsfield-Jackson Atlanta International,Fort Lauderdale-Hollywood International,GA,FL,Atlanta,Fort Lauderdale,33,20
DL,12889,12478,McCarran International,John F. Kennedy International,NV,NY,Las Vegas,New York,5,9
DL,12478,12889,John F. Kennedy International,McCarran International,NY,NV,New York,Las Vegas,-5,-15
DL,11193,15304,Cincinnati/Northern Kentucky International,Tampa International,OH,FL,Cincinnati,Tampa,-7,-14
DL,15304,11193,Tampa International,Cincinnati/Northern Kentucky International,FL,OH,Tampa,Cincinnati,-4,-6
DL,10397,12191,Hartsfield-Jackson Atlanta International,William P Hobby,GA,TX,Atlanta,Houston,0,-6
DL,12191,10397,William P Hobby,Hartsfield-Jackson Atlanta International,TX,GA,Houston,Atlanta,-4,2
DL,10397,11042,Hartsfield-Jackson Atlanta International,Cleveland-Hopkins International,GA,OH,Atlanta,Cleveland,65,67
DL,11042,10397,Cleveland-Hopkins International,Hartsfield-Jackson Atlanta International,OH,GA,Cleveland,Atlanta,66,49
DL,12892,12889,Los Angeles International,McCarran International,CA,NV,Los Angeles,Las Vegas,-2,-16
DL,12889,12892,McCarran International,Los Angeles International,NV,CA,Las Vegas,Los Angeles,-3,12
DL,14869,14107,Salt Lake City International,Phoenix Sky Harbor International,UT,AZ,Salt Lake City,Phoenix,9,3
DL,12953,15304,LaGuardia,Tampa International,NY,FL,New York,Tampa,-7,-23
DL,11433,10821,Detroit Metro Wayne County,Baltimore/Washington International Thurgood Marshall,MI,MD,Detroit,Baltimore,-2,-22
DL,11433,10821,Detroit Metro Wayne County,Baltimore/Washington International Thurgood Marshall,MI,MD,Detroit,Baltimore,-3,-8
DL,10821,11433,Baltimore/Washington International Thurgood Marshall,Detroit Metro Wayne County,MD,MI,Baltimore,Detroit,-1,0
DL,11278,10397,Ronald Reagan Washington National,Hartsfield-Jackson Atlanta International,DC,GA,Washington,Atlanta,-8,-15
DL,14869,13487,Salt Lake City International,Minneapolis-St Paul International,UT,MN,Salt Lake City,Minneapolis,-6,-21
DL,10397,11057,Hartsfield-Jackson Atlanta International,Charlotte Douglas International,GA,NC,Atlanta,Charlotte,28,20
DL,14747,12478,Seattle/Tacoma International,John F. Kennedy International,WA,NY,Seattle,New York,124,101
DL,12478,14747,John F. Kennedy International,Seattle/Tacoma International,NY,WA,New York,Seattle,-6,-24
